title,snippet,link,position,date
Dow Jones - 10 Year Daily Chart,Dow Jones - 10 Year Daily Chart. Interactive chart illustrating the performance of the Dow Jones Industrial Average (DJIA) market index over the last ten years.,https://www.macrotrends.net/1358/dow-jones-industrial-average-last-10-years,0,2024-06-03 18:50:03
Dow Jones Industrial Average (^DJI) - Historical Data,"Discover historical prices for ^DJI stock on Yahoo Finance. View daily, weekly or monthly format back to when Dow Jones Industrial Average stock was issued.",https://finance.yahoo.com/quote/%5EDJI/history/,1,2024-06-03 18:50:03
DJIA | Dow Jones Industrial Average Historical Prices,Dow Jones Industrial Average | historical charts for DJIA to see performance over time with comparisons to other stock exchanges.,https://www.wsj.com/market-data/quotes/index/DJIA/historical-prices,2,2024-06-03 18:50:03
Dow Jones Industrial Average: historical performance from ...,"Last year, 16.0%, 16.0%. Last 5 years, 10.6%, 65.6%. Last 10 years, 14.0%, 270.2%. Last 20 years, 10.0%, 569.5%. Annual returns. So far in 2024 (YTD), the Dow ...",https://curvo.eu/backtest/en/market-index/dow-jones-industrial-average,3,2024-06-03 18:50:03
Dow Jones Industrial Average (^DJI) Stock Historical ...,"Discover historical prices for ^DJI stock on Yahoo Finance. View daily, weekly or monthly format back to when Dow Jones Industrial Average stock was issued.",https://finance.yahoo.com/quote/%5EDJI/history?period1=1231995600&period2=1609477200&interval=1d&filter=history&frequency=1d,4,2024-06-03 18:50:03
Dow Jones Historical Returns by Year Since 1886,Annual returns for the Dow Jones Index starting with the year 1886. Returns calculated using the closing price of the last trading day of the year to the last ...,https://www.slickcharts.com/dowjones/returns,5,2024-06-03 18:50:03
Dow Jones Industrial Average,1 Year. 3 Year. Annualized. 5 Year. Annualized. 10 Year. Annualized. Dow Jones Industrial Average. Price Return. 1 MTH2.30%. 3 MTH-0.80%. YTD2.64%. 1 Year17.56%.,https://www.spglobal.com/spdji/en/indices/equity/dow-jones-industrial-average/,6,2024-06-03 18:50:03
Dow Jones Industrial Average Historical Rates (DJI),"Dow Jones Industrial Average Historical Data ; Highest: 40,077.40 ; Change %:. 2.07 ; Average: 39,187.72 ; Difference: 2,181.74 ; Lowest: 37,895.66.",https://www.investing.com/indices/us-30-historical-data,7,2024-06-03 18:50:03
Dow Jones Industrial Average (DJIA) | FRED | St. Louis Fed,"Graph and download economic data for Dow Jones Industrial Average (DJIA) from 2014-06-02 to 2024-05-31 about stock market, average, industry, and USA.",https://fred.stlouisfed.org/series/DJIA,8,2024-06-03 18:50:03
United States Stock Market Index - Quote - Chart,"United States Stock Market Index - data, forecasts, historical chart - was last updated on June 3 of 2024. The main stock market index in the United States ...",https://tradingeconomics.com/united-states/stock-market,9,2024-06-03 18:50:03
Dow Jones Industrial Average Overview - DJIA,"-1.07%. YTD. 2.34%. 1 Year. 14.92%. Recent News. MarketWatch. Dow Jones ... 3, 2024 at 3:10 ... Real-time last sale data for U.S. stock quotes reflect trades ...",https://www.marketwatch.com/investing/index/djia,10,2024-06-03 18:50:03
10 years Dow Jones chart of DJIA performance,"May 12, 2024 — Directly to the 10 year chart of Dow Jones Industrial Average. Graph and performance evaluation of DJIA in the past ten years.",https://www.5yearcharts.com/dow-jones-10-years-charts-of-performance/,11,2024-06-03 18:50:03
Dow Jones Industrial Average Historical Trends,"Over the last 127 years, the stock market has rewarded some investors with long-term growth. But for most investors, a realistic time horizon is 10 to 20 years— ...",https://www.guggenheiminvestments.com/advisor-resources/interactive-tools/dow-jones-historical-trends,12,2024-06-03 18:50:03
Daily Closing Values of the Dow Jones Average,"The most recent DJIA closing value in this data set is 38686.32 on May 31, 2024. The History of the Dow Index. On July 3, 1884, Charles Henry Dow began ...",https://www.measuringworth.com/datasets/DJA/index.php,13,2024-06-03 18:50:03
Key Market Indexes | Historical Chart Gallery,Dow Jones Transportation Average - 1900-Present ... 10-Year Treasury Note Yield - 1962-Present. 3 ... Commodity and historical index data provided by Pinnacle Data ...,https://stockcharts.com/freecharts/historical/marketindexes.html,14,2024-06-03 18:50:03
Dow Jones Industrials Average Price History,"Historical daily price data is available for up to two years prior to today's date. For more data, Barchart Premier members can download more historical ...",https://www.barchart.com/stocks/quotes/$DOWI/price-history/historical,15,2024-06-03 18:50:03
Dow Jones Falls As Warren Buffett Stock 'Plunges' 99%,2 hours ago — The 10-year yield fell 11 basis points to 4.40% and the two-year note slid seven basis points to 4.82%. A raft of jobs data this week could ...,https://www.investors.com/market-trend/stock-market-today/dow-jones-nasdaq-sp500-fed-official-neel-kashkari-gamestop-roaring-kitty-bet/,16,2024-06-03 18:50:03
Dow Jones Industrial Average Overview (DJIA),"A Complete Dow Jones Industrial Average overview by Barron's. View stock market news, stock market data and trading information.",https://www.barrons.com/market-data/indexes/djia,17,2024-06-03 18:50:03
Dow Jones Industrial Average,"The Dow Jones Industrial Average (DJIA), Dow Jones, or simply the Dow is a stock market index of 30 prominent companies listed on stock exchanges in the ...",https://en.wikipedia.org/wiki/Dow_Jones_Industrial_Average,18,2024-06-03 18:50:03
Dow Jones Chart For Last 10 Years,"The Dow Jones Industrial Average (DJI) has returned 139.8% between May 23, 2014 and May 23, 2024.",https://www.statmuse.com/money/ask/dow-jones-chart-for-last-10-years,19,2024-06-03 18:50:03
"US Markets, World Markets, and Stock Quotes","Up-to-date stock market data coverage from CNN. Get the latest updates on US markets, world markets, stock quotes, crypto, commodities and currencies.",https://www.cnn.com/markets,20,2024-06-03 18:50:03
2024 Dow jones last 10 years.,4 days ago — 229.62. 1.5225. 0.67%. More. The main stock market index in Canada. Dow Jones Industrial Average Historical Data. Get free historical data for ...,https://bilsemachinery.eu/history/dow-jones-last-10-years,21,2024-06-03 18:50:03
